"ID_Immobile_cantiere","rif_cantiere","nome_cantiere","cantiere","stato_cantiere","agenzia","referente_cantiere","Indirizzo","coordinate","n_immobili","ID_Immobile","Rif","Stato_Immobile","Stato_trattativa","Richiesta","Macro_Tipologia","in_pubblicita","Tipologia","Sub_Tipologia","MQ_Commerciali_da","N_Bagni","N_Camere_da_Letto","Giardino","Ultimo_Agg_Prezzo","avanzamento_lavori","Inizio_Lavori","Consegna","classe_energetica"
"45457","627-22",,"627-22 ","Cantiere/Gruppo Terminato","Castenaso","Torre Antonio","Budrio, Via Pertini snc","44.5324, 11.5372","4","46405","627-22d","Archiviato",,"350300","Appartamento","Non in Pubblicità","Appartamento","Quadrilocale","136","2","3","Assente",NULL,,NULL,NULL,"A4"
"45459","629-19",,"629-19 ","Cantiere/Gruppo Terminato","Cento","Vancini Alessandro","Terre del Reno, Via Torre snc","44.7912, 11.3892","2","45573","629-19a","Archiviato",,"220000","Appartamento","Non in Pubblicità","Appartamento","Quadrilocale","125","2","3","Privato",NULL,,NULL,NULL,"*A"
"45459","629-19",,"629-19 ","Cantiere/Gruppo Terminato","Cento","Vancini Alessandro","Terre del Reno, Via Torre snc","44.7912, 11.3892","2","45575","629-19c","Archiviato",,"99000","Appartamento","Non in Pubblicità","Appartamento","Bilocale","61","1","0","Assente",NULL,,NULL,NULL,"*A"
"45461","629-22",NULL,NULL,"Cantiere/Gruppo Attivo","Altedo","Tanchella Luca","Baricella, via Federico Fellini snc","44.6479, 11.5409","1","46407","629-22a","Pubblicato",,"184000","Terreno","In Pubblicità","Terreno Edificabile Residenziale",NULL,"1119","0","0","Assente",NULL,,NULL,NULL,NULL
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46881","64-23a","Pubblicato",,"388000","Appartamento","In Pubblicità","Appartamento","Trilocale","97","2","2","Privato",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46883","64-23aa","Pubblicato",,"395000","Appartamento","In Pubblicità","Appartamento","Trilocale","104","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46885","64-23ab","Incarico (Non Pubblicato)",,"391000","Appartamento","Non in Pubblicità","Appartamento","Trilocale","103","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46887","64-23ac","Incarico (Non Pubblicato)",,"182000","Appartamento","Non in Pubblicità","Appartamento","Monolocale","48","1","0","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46889","64-23ad","Archiviato",,"201000","Appartamento","Non in Pubblicità","Appartamento","Bilocale","53","1","1","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46891","64-23ae","Incarico (Non Pubblicato)",,"400000","Appartamento","Non in Pubblicità","Appartamento","Trilocale","104","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46893","64-23af","Pubblicato",,"397000","Appartamento","In Pubblicità","Appartamento","Trilocale","103","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46895","64-23ag","Pubblicato",,"491000","Appartamento","In Pubblicità","Appartamento","Quadrilocale","126","2","3","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46897","64-23ah","Pubblicato",,"406000","Appartamento","In Pubblicità","Appartamento","Trilocale","104","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46899","64-23ai","Pubblicato",,"508000","Appartamento","In Pubblicità","Appartamento","Quadrilocale","127","2","3","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46901","64-23aj","Pubblicato",,"390000","Appartamento","In Pubblicità","Appartamento","Trilocale","100","2","2","Condominiale",NULL,,NULL,NULL,"*A+"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46903","64-23ak","Pubblicato",,"364000","Appartamento","In Pubblicità","Appartamento","Trilocale","91","2","2","Privato",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46905","64-23al","Pubblicato",,"388000","Appartamento","In Pubblicità","Appartamento","Trilocale","97","2","2","Privato",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46907","64-23am","Incarico (Non Pubblicato)",,"317000","Appartamento","Non in Pubblicità","Appartamento","Trilocale","88","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46909","64-23an","Pubblicato",,"365000","Appartamento","In Pubblicità","Appartamento","Trilocale","96","2","2","Condominiale",NULL,,NULL,NULL,"*A+"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46911","64-23ao","Incarico (Non Pubblicato)",,"334000","Appartamento","Non in Pubblicità","Appartamento","Trilocale","88","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46913","64-23ap","Pubblicato",,"369000","Appartamento","In Pubblicità","Appartamento","Trilocale","97","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46915","64-23aq","Pubblicato",,"334000","Appartamento","In Pubblicità","Appartamento","Trilocale","88","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46917","64-23ar","Pubblicato",,"365000","Appartamento","In Pubblicità","Appartamento","Trilocale","96","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46919","64-23as","Pubblicato",,"339000","Appartamento","In Pubblicità","Appartamento","Trilocale","88","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46921","64-23at","Pubblicato",,"373000","Appartamento","In Pubblicità","Appartamento","Trilocale","97","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46923","64-23au","Pubblicato",,"343000","Appartamento","In Pubblicità","Appartamento","Trilocale","88","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46925","64-23av","In Trattativa","Compromesso","285000","Appartamento","Non in Pubblicità","Appartamento","Bilocale","73","1","1","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46927","64-23aw","Pubblicato",,"352000","Appartamento","In Pubblicità","Appartamento","Trilocale","88","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46929","64-23ax","Pubblicato",,"296000","Appartamento","In Pubblicità","Appartamento","Bilocale","74","1","1","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46931","64-23b","Pubblicato",,"364000","Appartamento","In Pubblicità","Appartamento","Trilocale","91","1","2","Privato",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46933","64-23c","Incarico (Non Pubblicato)",,"365000","Appartamento","Non in Pubblicità","Appartamento","Trilocale","96","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46935","64-23d","Incarico (Non Pubblicato)",,"346000","Appartamento","Non in Pubblicità","Appartamento","Trilocale","91","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46937","64-23e","Pubblicato",,"369000","Appartamento","In Pubblicità","Appartamento","Trilocale","97","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46939","64-23f","Pubblicato",,"342000","Appartamento","In Pubblicità","Appartamento","Trilocale","90","1","2","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46941","64-23g","Incarico (Non Pubblicato)",,"365000","Appartamento","Non in Pubblicità","Appartamento","Trilocale","96","2","2","Condominiale",NULL,,NULL,NULL,"A4"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46943","64-23h","In Trattativa","Compromesso","337000","Appartamento","Non in Pubblicità","Appartamento","Trilocale","91","2","2","Condominiale",NULL,,NULL,NULL,"*A+"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46945","64-23i","Pubblicato",,"369000","Appartamento","In Pubblicità","Appartamento","Trilocale","97","2","2","Condominiale",NULL,,NULL,NULL,"*A+"
"45467","64-23",,"64-23 ","Cantiere/Gruppo Attivo","Divisioni Specialistiche","Curzola Simone","Bologna, via Terracini snc","44.5174, 11.3218","58","46947","64-23j","Pubblicato",,"346000","Appartamento","In Pubblicità","Appartamento","Trilocale","90","2","2","Condominiale",NULL,,NULL,NULL,"A4"
